#   line (B)  time (µs)
           1      9722.8
           2     10023.5
           4     12457.1
           8     24544.7
          16     48836.6
          32     98069.4
          64    198496.0
         128    241299.4
         256    258763.6
         512    193606.9
        1024    204091.0
