#   line (B)  time (µs)
        1024       742.5
        2048       742.5
        4096       817.5
        8192       742.5
       16384       742.5
       32768       745.5
       65536      2440.8
      131072      2440.7
      262144      2720.8
      524288      3175.2
     1048576      3173.7
     2097152      3447.1
     4194304      8569.7
     8388608     12135.8
    16777216     12116.8
    33554432     12055.7
    67108864     12043.1
