
100 0.012076
200 0.048968
300 0.160928
400 0.379565
500 0.740481
600 1.28333
700 2.03369
800 3.02536
900 4.26672
1000 5.9076
1100 7.91481
1200 10.2998
1300 13.2095
1400 16.6996
1500 26.5484
1600 26.768
1700 36.2819
1800 36.0257
1900 42.0754
2000 49.1758
2100 57.5416
2200 71.1056
2300 74.5454
2400 95.4837
2500 104.571
2600 103.162
2700 122.192
2800 146.007
2900 156.621
3000 172.58
3100 185.113
3200 202.439
3300 223.837
3400 254.822
3500 261.728
3600 307.33
3700 321.716
3800 341.295
3900 372.199
