real	0m0.009s
user	0m0.004s
sys	0m0.000s

real	0m0.011s
user	0m0.008s
sys	0m0.000s

real	0m0.018s
user	0m0.008s
sys	0m0.008s

real	0m0.027s
user	0m0.024s
sys	0m0.000s

real	0m0.058s
user	0m0.044s
sys	0m0.012s

real	0m0.104s
user	0m0.084s
sys	0m0.016s

real	0m0.186s
user	0m0.164s
sys	0m0.020s

real	0m0.368s
user	0m0.328s
sys	0m0.036s

real	0m0.729s
user	0m0.628s
sys	0m0.096s

real	0m1.434s
user	0m1.168s
sys	0m0.264s

real	0m2.861s
user	0m2.380s
sys	0m0.476s
