Tiempo(seg.):0.026248804	 Tamaño vectores y matriz:100	 V2[0]=(5050.000000) V2[99]=(10049.500000) 
Tiempo(seg.):0.066653862	 Tamaño vectores y matriz:200	 V2[0]=(40200.000000) V2[199]=(80199.000000) 
Tiempo(seg.):0.013273188	 Tamaño vectores y matriz:400	 V2[0]=(320800.000000) V2[399]=(640798.000000) 
Tiempo(seg.):0.010558527	 Tamaño vectores y matriz:800	 V2[0]=(2563200.000000) V2[799]=(5123196.000000) 
Tiempo(seg.):0.004675110	 Tamaño vectores y matriz:1600	 V2[0]=(20492800.000000) V2[1599]=(40972792.000000) 
Tiempo(seg.):0.036272199	 Tamaño vectores y matriz:3200	 V2[0]=(163891200.000000) V2[3199]=(327731184.000000) 
Tiempo(seg.):0.036211182	 Tamaño vectores y matriz:6400	 V2[0]=(1310924800.000000) V2[6399]=(2621644768.000000) 
Tiempo(seg.):0.185305810	 Tamaño vectores y matriz:12800	 V2[0]=(10486579200.000000) V2[12799]=(20972339135.999996) 
Tiempo(seg.):0.660447244	 Tamaño vectores y matriz:25600	 V2[0]=(83889356800.000000) V2[25599]=(167775436672.000031) 
